word_id,anchor_word,audio_file_url,word_length,created_at,updated_at
1001,abduct,audio/abduct.wav,11,"2026-01-18 17:27:19","2026-01-18 17:27:19"
1002,incredulous,audio/incredulous.wav,10,"2026-01-18 17:27:19","2026-01-18 17:27:19"
1003,distraught,audio/distraught.wav,6,"2026-01-18 17:27:19","2026-01-18 17:27:19"
1004,summit,audio/summit.wav,7,"2026-01-18 17:27:19","2026-01-18 17:27:19"
1005,horizon,audio/horizon.wav,8,"2026-01-18 17:27:19","2026-01-18 17:27:19"
1006,languish,audio/languish.wav,7,"2026-01-18 17:27:19","2026-01-18 17:27:19"
1007,jubilee,audio/jubilee.wav,10,"2026-01-18 17:27:19","2026-01-18 17:27:19"
1008,comprehend,audio/comprehend.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1009,detect,audio/detect.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1010,memoir,audio/memoir.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1011,badger,audio/badger.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1012,compel,audio/compel.wav,8,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1013,epidemic,audio/epidemic.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1014,elapse,audio/elapse.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1015,assail,audio/assail.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1016,ponder,audio/ponder.wav,7,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1017,exhibit,audio/exhibit.wav,7,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1018,procure,audio/procure.wav,11,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1019,susceptible,audio/susceptible.wav,10,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1020,fastidious,audio/fastidious.wav,9,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1021,originate,audio/originate.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1022,lethal,audio/lethal.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1023,scanty,audio/scanty.wav,11,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1024,forbearance,audio/forbearance.wav,10,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1025,proficient,audio/proficient.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1026,decade,audio/decade.wav,8,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1027,simulate,audio/simulate.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1028,impede,audio/impede.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1029,access,audio/access.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1030,rankle,audio/rankle.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1031,abroad,audio/abroad.wav,11,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1032,interrogate,audio/interrogate.wav,8,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1033,resemble,audio/resemble.wav,7,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1034,anguish,audio/anguish.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1035,tirade,audio/tirade.wav,9,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1036,reinforce,audio/reinforce.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1037,bungle,audio/bungle.wav,7,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1038,mission,audio/mission.wav,10,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1039,pestilence,audio/pestilence.wav,9,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1040,fantastic,audio/fantastic.wav,7,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1041,appoint,audio/appoint.wav,10,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1042,compromise,audio/compromise.wav,6,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1043,divert,audio/divert.wav,8,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1044,sporadic,audio/sporadic.wav,9,"2026-01-18 17:27:20","2026-01-18 17:27:20"
1045,onslaught,audio/onslaught.wav,7,"2026-01-18 17:27:20","2026-01-18 17:27:20"
